ALLSKY_KT,WS2M,T2M,PS,WS10M,QV2M,RH2M
0.02932325,0.8868885,-6.66831868,-0.121191,1.24382765,-3.29715864,3.07361871
0.05932325,0.1668885,-6.14831868,-0.201191,0.38382765,-3.65715864,-0.42638129
-0.05067675,0.4768885,-5.54831868,-0.331191,0.74382765,-3.41715864,-1.11638129
-0.10067675,0.8968885,-6.07831868,-0.091191,1.24382765,-2.61715864,3.51361871
-0.02067675,0.4468885,-7.37831868,0.408809,0.50382765,-1.33715864,11.4536187
-0.07067675,1.0668885,-10.1883187,0.438809,1.13382765,2.26284136,34.0736187
-0.00067675,-1.1331115,-6.10831868,-0.071191,-1.18617235,-5.42715864,-8.48638129
0.00932325,0.6468885,-7.08831868,-0.031191,0.88382765,-5.73715864,-8.42638129
-0.07067675,-0.6731115,-7.77831868,0.248809,-0.70617235,-2.92715864,9.64361871
-0.07067675,0.3768885,-5.30831868,0.228809,0.68382765,-1.15715864,9.51361871
0.03932325,0.6968885,-6.49831868,0.098809,1.03382765,-2.86715864,4.57361871
-0.01067675,-0.2331115,-5.13831868,-0.241191,0.00382765,-4.38715864,-6.61638129
0.02932325,0.3868885,-5.56831868,-0.171191,0.67382765,-5.12715864,-8.73638129
0.11932325,0.5468885,-5.84831868,0.068809,0.88382765,-4.57715864,-6.85638129
0.13932325,1.2668885,-7.37831868,0.478809,1.61382765,-3.77715864,1.57361871
-0.00067675,-0.6531115,-6.42831868,0.498809,-0.65617235,-5.79715864,-8.98638129
0.05932325,-0.6731115,-4.77831868,0.158809,-0.61617235,-4.38715864,-7.79638129
0.01932325,1.4568885,-5.60831868,0.508809,1.81382765,-2.86715864,1.57361871
0.01932325,0.2968885,-4.58831868,1.168809,0.44382765,-3.90715864,-5.23638129
-0.00067675,0.7568885,-3.74831868,0.738809,0.99382765,-0.42715864,7.76361871
0.03932325,1.2668885,-5.00831868,0.268809,1.58382765,1.16284136,20.0136187
0.00932325,0.2268885,-6.13831868,0.308809,0.16382765,1.34284136,22.9536187
-0.00067675,-0.5231115,-5.21831868,0.318809,-0.50617235,-3.90715864,-5.92638129
0.01932325,0.5868885,-6.02831868,0.778809,0.63382765,-1.09715864,7.76361871
-0.00067675,-0.6631115,-3.31831868,0.308809,-0.64617235,-1.58715864,1.38361871
0.05932325,-1.1031115,-1.34831868,-0.501191,-1.18617235,-0.05715864,3.20361871
-0.01067675,-0.1931115,-3.60831868,-0.321191,-0.11617235,-2.19715864,-1.29638129
0.01932325,-0.3631115,-4.68831868,-0.071191,-0.33617235,-4.20715864,-8.23638129
0.20932325,-0.4531115,-6.77831868,0.548809,-0.76617235,-2.31715864,5.57361871
0.09932325,0.3468885,-5.70831868,0.578809,0.43382765,-3.04715864,2.57361871
0.03932325,0.6668885,-6.78831868,-0.181191,1.01382765,-2.55715864,6.76361871
-0.10067675,0.7868885,-7.16831868,-0.121191,1.14382765,-2.61715864,7.14361871
-0.00067675,0.7868885,-7.65831868,-0.251191,1.11382765,-2.07715864,10.8836187
-0.00067675,1.3668885,-8.72831868,-0.191191,1.74382765,-1.58715864,14.9536187
-0.01067675,0.0868885,-7.62831868,-0.221191,0.28382765,-3.77715864,3.82361871
-0.02067675,0.5968885,-7.25831868,-0.121191,0.93382765,-4.08715864,1.45361871
-0.00067675,0.7368885,-7.17831868,-0.041191,1.09382765,-1.64715864,10.2636187
-0.01067675,1.0568885,-7.18831868,0.118809,1.47382765,-3.22715864,4.76361871
-0.03067675,0.3868885,-6.23831868,0.298809,0.72382765,-4.45715864,-3.23638129
-0.00067675,1.1568885,-6.59831868,0.068809,1.56382765,-2.25715864,6.32361871
0.03932325,0.1368885,-6.33831868,-0.391191,0.31382765,-3.84715864,-0.35638129
0.01932325,0.5868885,-6.13831868,-0.231191,0.89382765,-4.38715864,-3.98638129
0.00932325,0.0368885,-5.79831868,-0.011191,0.25382765,-3.96715864,-2.61638129
-0.07067675,0.4168885,-4.90831868,-0.031191,0.67382765,-3.59715864,-3.48638129
0.24932325,1.2668885,-3.17831868,0.068809,1.75382765,-3.29715864,-8.29638129
0.04932325,1.5168885,-2.98831868,0.238809,1.99382765,-2.74715864,-6.54638129
-0.03067675,0.1668885,-2.95831868,-0.111191,0.35382765,-1.52715864,0.26361871
0.06932325,0.6968885,-2.87831868,-0.261191,1.02382765,-2.00715864,-3.61638129
-0.02067675,1.3868885,-5.34831868,-0.251191,1.73382765,-1.76715864,4.82361871
-0.02067675,1.2968885,-7.56831868,-0.121191,1.54382765,-1.21715864,13.8836187
-0.02067675,-0.7131115,-5.32831868,-0.081191,-0.68617235,-4.14715864,-5.11638129
0.23932325,0.7868885,-4.96831868,-0.021191,1.13382765,-2.68715864,0.57361871
0.01932325,1.2968885,-5.00831868,-0.101191,1.65382765,-2.00715864,4.20361871
0.00932325,1.4168885,-5.01831868,-0.131191,1.84382765,-3.29715864,-1.85638129
-0.00067675,0.9768885,-5.56831868,-0.121191,1.31382765,-3.10715864,0.45361871
-0.01067675,0.4868885,-5.34831868,-0.201191,0.61382765,-3.96715864,-4.48638129
0.01932325,-0.4131115,-4.98831868,-0.361191,-0.51617235,-3.29715864,-3.54638129
-0.01067675,0.6068885,-5.02831868,-0.361191,0.74382765,-2.80715864,-0.73638129
-0.04067675,0.5468885,-4.41831868,-0.441191,0.70382765,-2.43715864,-0.73638129
-0.09067675,0.1168885,-3.35831868,-0.641191,0.22382765,-2.98715864,-7.17638129
0.07932325,-0.7331115,-8.67831868,0.158809,-0.74617235,-7.25715864,-6.73638129
-0.07067675,-2.3931115,-7.08831868,-0.191191,-2.75617235,-2.31715864,9.07361871
0.04932325,-0.1231115,-4.78831868,-0.321191,0.07382765,-1.76715864,5.07361871
0.06932325,1.4468885,-6.29831868,-0.131191,1.90382765,-1.94715864,7.57361871
0.06932325,0.5968885,-7.74831868,-0.221191,0.90382765,-3.47715864,5.57361871
0.06932325,-0.1431115,-7.03831868,-0.261191,0.08382765,-3.90715864,2.07361871
-0.01067675,-0.1231115,-6.33831868,-0.061191,0.09382765,-3.59715864,1.14361871
0.06932325,0.1268885,-7.27831868,0.108809,0.34382765,-2.74715864,6.95361871
0.04932325,0.5268885,-6.67831868,0.388809,0.86382765,-1.39715864,12.4536187
0.09932325,0.1468885,-7.32831868,0.518809,0.41382765,-3.16715864,6.82361871
0.06932325,-0.3731115,-5.74831868,0.168809,-0.21617235,-2.31715864,5.07361871
0.02932325,0.8268885,-6.40831868,0.208809,1.13382765,-1.64715864,8.76361871
0.01932325,-0.1331115,-6.94831868,0.028809,0.06382765,-2.68715864,7.70361871
0.03932325,-0.9631115,-6.58831868,-0.081191,-0.97617235,-4.87715864,-2.98638129
