ALLSKY_KT,WS2M,T2M,PS,WS10M,QV2M,RH2M
-0.09067675,0.5168885,9.43168132,-0.991191,0.51382765,3.11284136,-13.1163813
-0.07067675,0.6868885,9.59168132,-1.181191,0.67382765,3.17284136,-14.2363813
-0.04067675,-0.9131115,9.95168132,-0.901191,-1.22617235,3.42284136,-12.1163813
-0.03067675,-0.9331115,10.3116813,-0.081191,-1.33617235,4.03284136,-5.29638129
0.38932325,-1.7031115,11.0816813,0.118809,-2.30617235,3.54284136,-13.1163813
0.00932325,-0.7631115,11.7516813,-0.261191,-1.14617235,4.27284136,-8.11638129
0.03932325,-2.1731115,11.3916813,-0.231191,-2.86617235,4.27284136,-6.92638129
-0.01067675,-1.1031115,11.0216813,-0.041191,-1.39617235,4.33284136,-3.17638129
-0.00067675,-1.1431115,9.75168132,0.048809,-1.51617235,3.97284136,-3.23638129
-0.02067675,0.1468885,10.5816813,0.038809,0.17382765,4.39284136,-0.61638129
0.17932325,-0.0931115,11.6716813,-0.221191,-0.15617235,4.09284136,-9.23638129
0.05932325,-0.8631115,11.7216813,-0.361191,-1.16617235,4.58284136,-3.79638129
0.23932325,-1.7131115,12.1716813,-0.181191,-2.19617235,4.33284136,-8.73638129
0.11932325,-0.2631115,10.6116813,-0.831191,-0.46617235,3.48284136,-14.4863813
-0.03067675,-1.7931115,10.4516813,-0.751191,-2.33617235,4.27284136,-2.67638129
-0.03067675,1.4168885,9.06168132,-1.331191,1.73382765,3.48284136,-8.04638129
-0.03067675,0.7468885,9.69168132,-1.271191,0.93382765,3.17284136,-13.9263813
-0.06067675,1.4368885,9.69168132,-0.731191,1.74382765,3.97284136,-4.61638129
-0.03067675,1.9068885,9.63168132,-0.501191,2.20382765,3.17284136,-12.9263813
-0.03067675,-0.4431115,10.1916813,-0.401191,-0.68617235,4.15284136,-3.61638129
-0.05067675,-1.0031115,9.87168132,-0.481191,-1.38617235,4.39284136,0.88361871
-0.00067675,0.0368885,9.86168132,-0.161191,-0.15617235,4.70284136,5.14361871
0.14932325,-0.8231115,8.46168132,0.078809,-1.18617235,3.17284136,-6.42638129
0.01932325,-0.9731115,6.93168132,0.468809,-1.39617235,2.14284136,-13.1163813
-0.02067675,0.7368885,8.31168132,-0.411191,0.73382765,3.60284136,-3.35638129
-0.01067675,1.4168885,9.64168132,-0.611191,1.59382765,4.46284136,2.82361871
0.02932325,1.7668885,8.47168132,-0.341191,2.01382765,3.72284136,-0.04638129
-0.00067675,1.2368885,7.29168132,-0.461191,1.37382765,1.83284136,-17.5463813
0.13932325,-0.5131115,8.03168132,-0.531191,-0.81617235,1.22284136,-27.6763813
0.05932325,-0.5431115,7.83168132,-0.191191,-0.82617235,1.10284136,-27.4263813
0.04932325,-0.2131115,8.41168132,-0.031191,-0.43617235,1.65284136,-24.5463813
0.17932325,0.2668885,10.0216813,0.358809,0.22382765,3.60284136,-8.23638129
-0.07067675,-2.3331115,11.7216813,0.388809,-3.05617235,4.03284136,-10.3563813
-0.04067675,-2.3031115,12.5416813,0.478809,-2.90617235,4.33284136,-9.42638129
-0.03067675,-1.1231115,12.3516813,0.298809,-1.40617235,4.39284136,-8.92638129
0.26932325,-2.8131115,13.2216813,1.028809,-3.61617235,5.31284136,2.45361871
0.03932325,-3.0131115,11.1016813,1.518809,-3.91617235,3.66284136,-11.2363813
0.06932325,1.5068885,10.0416813,1.008809,1.77382765,3.05284136,-15.1763813
0.28932325,0.5868885,9.91168132,1.138809,0.64382765,2.99284136,-14.6763813
0.06932325,0.8068885,12.3616813,0.188809,0.87382765,4.33284136,-9.29638129
-0.01067675,1.0368885,14.2816813,-0.311191,1.06382765,5.62284136,1.88361871
0.02932325,1.3168885,13.8016813,-0.271191,1.49382765,5.00284136,-4.29638129
0.24932325,0.7368885,12.3316813,-0.191191,0.74382765,3.60284136,-19.9863813
-0.00067675,-0.3931115,12.3216813,0.158809,-0.65617235,4.21284136,-11.9863813
-0.06067675,-0.8431115,13.5916813,0.078809,-1.18617235,4.88284136,-6.92638129
-0.00067675,0.7168885,11.9016813,0.548809,0.63382765,4.58284136,-4.54638129
0.16932325,-0.5631115,11.5516813,0.888809,-0.81617235,3.78284136,-10.9263813
-0.04067675,-1.5531115,11.1116813,0.348809,-2.10617235,4.58284136,-1.04638129
-0.07067675,-3.4431115,13.4216813,0.178809,-4.40617235,5.31284136,0.95361871
0.05932325,-2.0131115,12.0016813,0.328809,-2.67617235,4.64284136,-2.92638129
-0.03067675,-0.9931115,11.4216813,0.048809,-1.40617235,3.97284136,-11.0463813
-0.09067675,-1.5931115,9.70168132,0.058809,-2.13617235,3.42284136,-11.5463813
0.04932325,-1.2631115,9.14168132,0.008809,-1.84617235,4.03284136,-0.29638129
-0.05067675,0.0368885,8.65168132,-0.091191,-0.36617235,4.27284136,4.64361871
0.00932325,0.8668885,8.47168132,0.058809,0.72382765,4.21284136,4.07361871
0.31932325,0.1468885,8.89168132,-0.041191,0.01382765,1.34284136,-30.0463813
-0.03067675,1.6668885,8.92168132,0.168809,1.98382765,2.50284136,-18.0463813
0.20932325,-0.1231115,9.04168132,0.198809,-0.28617235,2.75284136,-14.3563813
-0.10067675,0.1268885,10.1616813,-0.291191,-0.07617235,3.78284136,-9.11638129
-0.00067675,-0.0831115,9.67168132,-0.261191,-0.25617235,3.30284136,-10.3563813
0.11932325,-0.5731115,9.51168132,-0.771191,-1.01617235,3.05284136,-15.1163813
0.01932325,1.0568885,9.47168132,-1.021191,1.06382765,3.36284136,-12.0463813
-0.03067675,-1.9031115,9.25168132,0.498809,-2.54617235,4.09284136,-0.48638129
-0.04067675,-1.5531115,8.79168132,0.088809,-2.09617235,3.60284136,-3.23638129
-0.03067675,-0.9531115,8.45168132,0.188809,-1.32617235,2.75284136,-12.0463813
-0.02067675,1.1368885,7.31168132,0.338809,1.29382765,2.56284136,-9.17638129
0.05932325,0.2668885,8.29168132,0.008809,0.25382765,2.62284136,-12.9863813
0.05932325,-1.7031115,10.2516813,0.138809,-2.29617235,3.54284136,-12.2363813
-0.03067675,-0.6931115,11.1016813,-0.241191,-1.00617235,4.58284136,-1.04638129
0.24932325,-1.6531115,11.3916813,0.148809,-2.14617235,4.76284136,0.76361871
0.00932325,-0.4031115,9.72168132,0.158809,-0.58617235,3.85284136,-4.35638129
0.15932325,-0.2331115,10.1816813,-0.441191,-0.57617235,3.42284136,-12.6763813
-0.08067675,-0.1931115,8.97168132,-1.171191,-0.31617235,3.11284136,-12.3563813
-0.07067675,-0.3531115,8.94168132,-0.791191,-0.50617235,3.72284136,-4.04638129
0.00932325,-0.3831115,8.65168132,-0.941191,-0.70617235,3.11284136,-10.7963813
-0.00067675,-0.5631115,9.11168132,-1.071191,-0.86617235,3.48284136,-7.98638129
-0.04067675,-2.5531115,10.0216813,-0.571191,-3.25617235,4.33284136,-0.73638129
-0.07067675,-0.8031115,9.54168132,-0.071191,-1.04617235,3.78284136,-3.48638129
-0.02067675,0.6568885,10.4516813,-0.411191,0.64382765,4.33284136,-2.92638129
-0.06067675,0.5268885,10.5716813,-1.161191,0.45382765,4.15284136,-5.11638129
-0.06067675,1.5668885,10.3916813,-1.661191,1.72382765,4.03284136,-8.11638129
-0.06067675,-1.3031115,11.0016813,-1.071191,-1.82617235,4.39284136,-4.61638129
-0.05067675,0.1968885,10.8416813,-0.801191,0.11382765,4.58284136,-0.79638129
-0.07067675,-0.0931115,10.9116813,-0.711191,-0.30617235,4.82284136,2.64361871
