ALLSKY_KT,WS2M,T2M,PS,WS10M,QV2M,RH2M
0.02932325,0.6568885,6.50168132,0.738809,0.69382765,1.40284136,-16.9263813
0.05932325,-0.0131115,7.82168132,0.278809,-0.22617235,4.52284136,10.4536187
0.03932325,-0.8131115,7.82168132,0.338809,-1.24617235,4.82284136,12.4536187
0.17932325,0.2168885,7.93168132,0.608809,0.22382765,3.30284136,-3.04638129
0.05932325,-0.8131115,8.84168132,-0.051191,-1.02617235,4.27284136,3.45361871
0.00932325,-0.2831115,8.75168132,-0.371191,-0.47617235,3.78284136,-4.48638129
0.06932325,0.3068885,8.97168132,-0.171191,0.27382765,3.97284136,-2.98638129
0.17932325,0.9868885,8.03168132,0.218809,1.23382765,3.91284136,2.70361871
0.10932325,1.2968885,7.66168132,0.658809,1.39382765,4.21284136,7.32361871
-0.00067675,0.2468885,8.00168132,0.288809,0.21382765,4.15284136,3.76361871
0.03932325,1.8268885,8.11168132,-0.271191,2.27382765,4.09284136,3.70361871
0.03932325,0.0568885,9.09168132,-0.301191,0.06382765,3.60284136,-5.73638129
0.08932325,-0.6531115,7.98168132,0.088809,-0.91617235,2.20284136,-16.3563813
0.19932325,-2.1131115,6.68168132,0.848809,-2.68617235,1.04284136,-21.6163813
0.30932325,0.3368885,6.75168132,0.968809,0.38382765,0.67284136,-25.1763813
-0.08067675,1.5868885,6.63168132,0.608809,1.81382765,2.32284136,-9.54638129
-0.01067675,1.6168885,5.22168132,0.318809,1.89382765,4.09284136,12.8236187
0.03932325,1.6168885,6.00168132,0.488809,1.87382765,2.20284136,-9.48638129
-0.02067675,0.0168885,6.68168132,0.518809,-0.00617235,1.59284136,-17.2363813
0.06932325,0.4968885,5.62168132,1.248809,0.36382765,0.73284136,-19.5463813
0.08932325,1.5468885,4.92168132,1.698809,1.77382765,0.98284136,-14.2963813
0.02932325,0.9168885,5.55168132,1.198809,1.02382765,2.08284136,-7.04638129
0.30932325,1.0568885,7.17168132,0.658809,1.24382765,1.59284136,-17.7363813
-0.09067675,0.9268885,6.04168132,-0.081191,1.14382765,2.50284136,-5.61638129
-0.04067675,-0.4431115,5.27168132,-0.221191,-0.79617235,3.11284136,3.26361871
-0.00067675,0.4668885,3.23168132,0.068809,0.32382765,3.85284136,15.9536187
-0.06067675,-0.3031115,4.21168132,-0.241191,-0.44617235,0.85284136,-12.8563813
-0.01067675,1.1768885,3.04168132,-0.271191,1.33382765,0.61284136,-10.7363813
0.02932325,-0.4231115,1.51168132,0.018809,-0.88617235,2.50284136,8.51361871
-0.00067675,1.7768885,3.62168132,-0.161191,2.18382765,1.59284136,-5.17638129
-0.06067675,1.6768885,3.13168132,0.008809,1.95382765,1.83284136,-0.35638129
-0.01067675,2.2868885,6.00168132,-0.911191,2.83382765,2.26284136,-9.11638129
0.01932325,-0.0631115,5.04168132,-0.651191,-0.41617235,3.05284136,3.14361871
-0.00067675,0.9268885,6.20168132,-0.591191,1.03382765,3.05284136,-0.42638129
0.00932325,1.4968885,5.81168132,-0.251191,1.72382765,3.85284136,8.14361871
0.03932325,-0.2131115,6.32168132,-0.201191,-0.40617235,0.73284136,-22.6163813
0.04932325,0.7168885,5.96168132,0.078809,0.74382765,1.95284136,-9.54638129
0.06932325,-2.0331115,6.88168132,0.268809,-2.68617235,3.85284136,6.38361871
0.03932325,-1.7631115,7.80168132,0.068809,-2.29617235,4.15284136,6.38361871
-0.02067675,2.2368885,5.98168132,-0.291191,2.77382765,3.91284136,10.0136187
-0.00067675,1.7268885,5.82168132,-0.301191,2.10382765,2.93284136,-0.48638129
-0.03067675,1.0568885,6.10168132,-0.111191,1.21382765,1.77284136,-12.9863813
0.11932325,1.0868885,7.38168132,0.038809,1.35382765,1.46284136,-21.3563813
-0.06067675,1.6968885,7.78168132,0.018809,2.02382765,2.81284136,-9.85638129
0.20932325,0.9768885,8.25168132,0.268809,1.18382765,3.48284136,-3.11638129
-0.01067675,1.0568885,9.05168132,0.318809,1.22382765,3.66284136,-5.79638129
-0.02067675,0.7668885,7.15168132,0.298809,0.67382765,3.48284136,-0.54638129
-0.04067675,1.0368885,6.20168132,0.538809,1.13382765,4.27284136,12.0136187
0.00932325,-0.1231115,5.70168132,0.938809,-0.27617235,3.91284136,10.2636187
0.02932325,-0.0531115,7.23168132,0.748809,-0.17617235,3.97284136,5.26361871
0.10932325,-2.9431115,5.07168132,1.568809,-3.86617235,3.85284136,12.0136187
